customer_id,customer_name,city,signup_date,signup_channel,customer_segment
CUST_00001,Customer 1,Dubai,2025-07-16 12:45:15,App,Premium
CUST_00002,Customer 2,Ras Al Khaimah,2025-04-27 10:57:10,Call Center,Premium
CUST_00003,Customer 3,Sharjah,2025-08-30 04:14:26,App,Regular
CUST_00004,Customer 4,Abu Dhabi,2025-04-22 02:40:54,Web,Premium
CUST_00005,Customer 5,Dubai,2025-01-04 05:27:55,Web,Regular
CUST_00006,Customer 6,Dubai,2025-10-23 03:03:41,App,Regular
CUST_00007,Customer 7,Dubai,2025-11-02 11:16:25,App,Premium
CUST_00008,Customer 8,Ajman,2025-11-14 09:41:35,Web,Regular
CUST_00009,Customer 9,Abu Dhabi,2025-07-22 19:33:35,App,VIP
CUST_00010,Customer 10,Sharjah,2025-03-23 19:53:25,Call Center,Regular
CUST_00011,Customer 11,Dubai,2025-12-18 13:30:06,App,Premium
CUST_00012,Customer 12,Ras Al Khaimah,2025-08-12 02:01:13,Call Center,Regular
CUST_00013,Customer 13,Sharjah,2025-02-24 16:05:44,App,Regular
CUST_00014,Customer 14,Dubai,2025-06-15 16:54:36,Web,Regular
CUST_00015,Customer 15,Dubai,2025-05-08 23:20:37,Web,Premium
CUST_00016,Customer 16,Dubai,2025-05-26 11:27:39,Web,Regular
CUST_00017,Customer 17,Dubai,2025-01-10 13:14:48,App,VIP
CUST_00018,Customer 18,Abu Dhabi,2025-06-11 21:12:12,Web,Regular
CUST_00019,Customer 19,Abu Dhabi,2025-03-20 21:55:47,App,Regular
CUST_00020,Customer 20,Dubai,2025-05-01 11:53:27,Web,Regular
CUST_00021,Customer 21,Abu Dhabi,2025-01-11 14:46:43,App,Regular
CUST_00022,Customer 22,Dubai,2025-05-08 20:51:29,Web,Premium
CUST_00023,Customer 23,Dubai,2025-01-13 07:38:33,App,Regular
CUST_00024,Customer 24,Dubai,2026-01-02 03:37:14,Web,Regular
CUST_00025,Customer 25,Abu Dhabi,2025-11-19 18:43:04,Web,Regular
CUST_00026,Customer 26,Sharjah,2025-04-21 21:26:44,Web,Regular
CUST_00027,Customer 27,Dubai,2025-03-03 04:40:35,App,Premium
CUST_00028,Customer 28,Abu Dhabi,2025-05-17 16:43:29,App,Regular
CUST_00029,Customer 29,Abu Dhabi,2025-09-01 21:01:20,Call Center,Regular
CUST_00030,Customer 30,Dubai,2025-11-09 19:56:10,App,VIP
CUST_00031,Customer 31,Abu Dhabi,2025-07-01 15:00:22,App,Premium
CUST_00032,Customer 32,Dubai,2025-01-28 05:08:21,Web,Regular
CUST_00033,Customer 33,Dubai,2025-03-14 09:18:54,Web,Regular
CUST_00034,Customer 34,Ajman,2025-05-03 18:25:18,App,Regular
CUST_00035,Customer 35,Ras Al Khaimah,2025-11-08 02:58:25,Web,Regular
CUST_00036,Customer 36,Sharjah,2025-10-23 14:33:03,Web,Premium
CUST_00037,Customer 37,Dubai,2025-03-16 20:38:34,App,Regular
CUST_00038,Customer 38,Dubai,2025-05-06 03:14:27,Call Center,Regular
CUST_00039,Customer 39,Sharjah,2025-06-01 13:04:23,App,Regular
CUST_00040,Customer 40,Abu Dhabi,2025-10-03 10:42:22,App,Regular
CUST_00041,Customer 41,Dubai,2025-12-24 17:06:55,App,Regular
CUST_00042,Customer 42,Abu Dhabi,2025-12-24 16:20:22,App,Regular
CUST_00043,Customer 43,DUBAI,2025-05-24 07:47:32,Call Center,Regular
CUST_00044,Customer 44,Ajman,2025-09-28 14:01:13,App,Regular
CUST_00045,Customer 45,Dubai,2025-08-27 04:04:59,App,Regular
CUST_00046,Customer 46,Sharjah,2025-11-21 06:40:55,App,Regular
CUST_00047,Customer 47,Dubai,2025-04-30 14:02:39,Web,Regular
CUST_00048,Customer 48,Abu Dhabi,2025-12-29 19:12:13,Web,Regular
CUST_00049,Customer 49,Abu Dhabi,2025-08-03 16:32:56,App,Regular
CUST_00050,Customer 50,Dubai,2025-04-28 00:24:04,App,Regular
CUST_00051,Customer 51,Ras Al Khaimah,2025-08-27 08:35:05,Web,Regular
