fulfillment_id,order_id,warehouse_hub,delivery_zone,promised_date,delivery_status,actual_delivery_date,delay_reason,delivery_partner
FUL_000001,ORD_000001,Dubai Hub,Zone F,2026-01-02 05:38:28,On Time,2026-01-02 05:38:28,,QuickShip
FUL_000002,ORD_000002,Sharjah Hub,Zone C,2025-10-31 04:12:34,On Time,2025-10-30 04:12:34,,FastTrack
FUL_000003,ORD_000003,Sharjah Hub,Zone C,2025-12-19 20:37:03,On Time,2025-12-19 20:37:03,,QuickShip
FUL_000004,ORD_000004,Abu Dhabi Hub,Zone B,2025-11-25 09:09:34,On Time,2025-11-25 09:09:34,,SpeedLink
FUL_000005,ORD_000005,Abu Dhabi Hub,Zone C,2025-10-12 19:14:07,Delayed,2025-10-16 19:14:07,Warehouse Delay,SpeedLink
FUL_000006,ORD_000006,Dubai Hub,Zone C,2025-11-20 10:32:25,On Time,2025-11-19 10:32:25,,SpeedLink
FUL_000007,ORD_000007,Dubai Hub,Zone F,2025-12-26 07:53:50,On Time,2025-12-25 07:53:50,,QuickShip
FUL_000008,ORD_000008,Dubai Hub,Zone E,2025-12-18 04:27:44,On Time,2025-12-17 04:27:44,,SpeedLink
FUL_000009,ORD_000009,Dubai Hub,Zone C,2025-12-08 02:47:51,On Time,2025-12-08 02:47:51,,FastTrack
FUL_000010,ORD_000010,Dubai Hub,Zone F,2025-12-27 06:54:46,On Time,2025-12-27 06:54:46,,QuickShip
FUL_000011,ORD_000011,Sharjah Hub,Zone A,2025-10-21 15:15:02,On Time,2025-10-20 15:15:02,,QuickShip
FUL_000012,ORD_000012,Dubai Hub,Zone F,2025-11-20 06:50:51,On Time,2025-11-20 06:50:51,,FastTrack
FUL_000013,ORD_000013,Dubai Hub,Zone A,2025-10-13 08:17:13,On Time,2025-10-13 08:17:13,,SpeedLink
FUL_000014,ORD_000014,Abu Dhabi Hub,Zone C,2025-12-05 09:31:25,On Time,2025-12-04 09:31:25,,QuickShip
FUL_000015,ORD_000015,Dubai Hub,Zone A,2025-11-26 03:18:01,On Time,2025-11-25 03:18:01,,FastTrack
FUL_000016,ORD_000016,Sharjah Hub,Zone C,2025-12-14 09:55:53,Failed,2025-12-18 09:55:53,,QuickShip
FUL_000017,ORD_000017,Dubai Hub,Zone F,2026-01-05 09:27:15,Delayed,2026-01-12 09:27:15,Rider Unavailable,SpeedLink
FUL_000018,ORD_000018,Sharjah Hub,Zone D,2025-12-07 16:46:52,On Time,2025-12-06 16:46:52,,FastTrack
FUL_000019,ORD_000019,Sharjah Hub,Zone E,2025-11-07 06:51:10,On Time,2025-11-06 06:51:10,,QuickShip
FUL_000020,ORD_000020,Abu Dhabi Hub,Zone B,2025-11-15 14:19:54,On Time,2025-11-14 14:19:54,,SpeedLink
FUL_000021,ORD_000021,Dubai Hub,Zone E,2025-10-29 07:25:41,Delayed,2025-11-04 07:25:41,Warehouse Delay,FastTrack
FUL_000022,ORD_000022,Dubai Hub,Zone C,2025-10-24 01:55:27,Delayed,2025-10-26 01:55:27,Address Issue,FastTrack
FUL_000023,ORD_000023,Abu Dhabi Hub,Zone C,2025-12-24 18:31:24,On Time,2025-12-23 18:31:24,,QuickShip
FUL_000024,ORD_000024,Dubai Hub,Zone C,2025-11-21 07:24:56,On Time,2025-11-21 07:24:56,,FastTrack
FUL_000025,ORD_000025,Abu Dhabi Hub,Zone D,2025-12-24 01:16:30,On Time,2025-12-24 01:16:30,,QuickShip
FUL_000026,ORD_000026,Sharjah Hub,Zone A,2025-12-06 23:12:13,On Time,2025-12-05 23:12:13,,QuickShip
FUL_000027,ORD_000027,Dubai Hub,Zone D,2025-12-03 23:51:46,Delayed,2025-12-07 23:51:46,Traffic/Weather,FastTrack
FUL_000028,ORD_000028,Abu Dhabi Hub,Zone F,2025-10-21 00:21:50,Delayed,2025-10-22 00:21:50,Traffic/Weather,QuickShip
FUL_000029,ORD_000029,Dubai Hub,Zone C,2025-12-07 06:01:44,Delayed,2025-12-09 06:01:44,Address Issue,FastTrack
FUL_000030,ORD_000030,Abu Dhabi Hub,Zone F,2025-11-29 20:30:27,On Time,2025-11-29 20:30:27,,FastTrack
FUL_000031,ORD_000031,Dubai Hub,Zone E,2025-11-11 17:28:20,Delayed,2025-11-18 17:28:20,Traffic/Weather,FastTrack
FUL_000032,ORD_000032,Abu Dhabi Hub,Zone A,2025-11-13 04:13:26,On Time,2025-11-13 04:13:26,,FastTrack
FUL_000033,ORD_000033,Dubai Hub,Zone B,2026-01-07 13:53:57,On Time,2026-01-07 13:53:57,,QuickShip
FUL_000034,ORD_000034,Dubai Hub,Zone F,2026-01-01 23:18:49,On Time,2025-12-31 23:18:49,,SpeedLink
FUL_000035,ORD_000035,Sharjah Hub,Zone E,2025-12-18 16:21:27,On Time,2025-12-17 16:21:27,,SpeedLink
FUL_000036,ORD_000036,Dubai Hub,Zone F,2025-12-30 02:19:03,On Time,2025-12-29 02:19:03,,SpeedLink
FUL_000037,ORD_000037,Dubai Hub,Zone C,2025-12-13 22:21:06,On Time,2025-12-12 22:21:06,,QuickShip
FUL_000038,ORD_000038,Dubai Hub,Zone D,2025-11-17 16:18:54,Delayed,2025-11-20 16:18:54,Warehouse Delay,SpeedLink
FUL_000039,ORD_000039,Dubai Hub,Zone E,2025-10-26 00:22:07,On Time,2025-10-26 00:22:07,,SpeedLink
FUL_000040,ORD_000040,Abu Dhabi Hub,Zone D,2025-12-08 02:29:49,On Time,2025-12-08 02:29:49,,SpeedLink
FUL_000041,ORD_000041,Dubai Hub,Zone F,2025-11-24 10:19:37,On Time,2025-11-23 10:19:37,,SpeedLink
FUL_000042,ORD_000042,Sharjah Hub,Zone D,2025-10-18 16:07:49,On Time,2025-10-18 16:07:49,,SpeedLink
