item_id,order_id,product_category,product_name,quantity,unit_price,item_total
ITEM_000000,ORD_007972,Groceries,Groceries Product 0,2,27.31,54.62
ITEM_000001,ORD_007556,Electronics,Electronics Product 1,3,1837.84,5513.52
ITEM_000002,ORD_003101,Fashion,Fashion Product 2,3,504.52,1513.57
ITEM_000003,ORD_000646,Home & Kitchen,Home & Kitchen Product 3,2,629.41,1258.82
ITEM_000004,ORD_004523,Home & Kitchen,Home & Kitchen Product 4,1,320.18,320.18
ITEM_000005,ORD_002402,Groceries,Groceries Product 5,3,165.75,497.26
ITEM_000006,ORD_006795,Electronics,Electronics Product 6,1,206.53,206.53
ITEM_000007,ORD_005150,Fashion,Fashion Product 7,1,581.29,581.29
ITEM_000008,ORD_005067,Fashion,Fashion Product 8,2,499.46,998.92
ITEM_000009,ORD_007254,Electronics,Electronics Product 9,2,1591.35,3182.71
ITEM_000010,ORD_007060,Beauty,Beauty Product 10,1,30.56,30.56
ITEM_000011,ORD_002963,electronics,Electronics Product 11,1,1902.65,1902.65
ITEM_000012,ORD_004730,Home & Kitchen,Home & Kitchen Product 12,1,547.25,547.25
ITEM_000013,ORD_001576,Beauty,Beauty Product 13,1,260.5,260.5
ITEM_000014,ORD_005772,Fashion,Fashion Product 14,2,520.13,1040.26
ITEM_000015,ORD_000570,Beauty,Beauty Product 15,2,219.75,439.51
ITEM_000016,ORD_000376,Fashion,Fashion Product 16,3,261.27,783.81
ITEM_000017,ORD_005418,Home & Kitchen,Home & Kitchen Product 17,1,303.23,303.23
ITEM_000018,ORD_001867,Electronics,Electronics Product 18,3,1215.59,3646.77
ITEM_000019,ORD_006333,Fashion,Fashion Product 19,3,322.53,967.59
ITEM_000020,ORD_002371,Fashion,Fashion Product 20,2,67.45,134.89
ITEM_000021,ORD_000654,Fashion,Fashion Product 21,2,446.37,892.73
ITEM_000022,ORD_007007,Fashion,Fashion Product 22,3,245.18,735.55
ITEM_000023,ORD_001908,Electronics,Electronics Product 23,2,806.29,1612.59
ITEM_000024,ORD_007099,Electronics,Electronics Product 24,3,1825.47,5476.4
ITEM_000025,ORD_000828,Electronics,Electronics Product 25,1,1440.82,1440.82
ITEM_000026,ORD_003114,Groceries,Groceries Product 26,3,154.24,462.71
ITEM_000027,ORD_002278,Groceries,Groceries Product 27,2,55.5,111.0
ITEM_000028,ORD_003715,Beauty,Beauty Product 28,1,53.32,53.32
ITEM_000029,ORD_005208,Fashion,Fashion Product 29,1,232.37,232.37
ITEM_000030,ORD_006834,Electronics,Electronics Product 30,1,1231.71,1231.71
ITEM_000031,ORD_002989,Fashion,Fashion Product 31,3,152.69,458.08
ITEM_000032,ORD_001333,Fashion,Fashion Product 32,3,498.71,1496.12
ITEM_000033,ORD_003033,Electronics,Electronics Product 33,2,1855.12,3710.25
