order_id,customer_id,order_date,order_channel,order_status,gross_amount,discount_amount,net_amount,payment_method,coupon_code
ORD_000001,CUST_01127,2025-12-30 05:38:28,App,Delivered,423.65,0.0,423.65,Card,SAVE10
ORD_000002,CUST_01239,2025-10-28 04:12:34,App,Returned,837.28,0.0,837.28,Card,SAVE10
ORD_000003,CUST_01216,2025-12-16 20:37:03,Web,Delivered,277.81,0.0,277.81,Card,SAVE10
ORD_000004,CUST_01696,2025-11-21 09:09:34,App,Delivered,292.83,0.0,292.83,COD,
ORD_000005,CUST_01908,2025-10-07 19:14:07,App,Delivered,305.36,17.99,287.37,Wallet,SAVE10
ORD_000006,CUST_00719,2025-11-16 10:32:25,App,In Transit,647.82,59.83,587.99,Apple Pay,
ORD_000007,CUST_00781,2025-12-21 07:53:50,Web,Delivered,686.49,0.0,686.49,Card,
ORD_000008,CUST_01020,2025-12-14 04:27:44,Call Center,In Transit,127.59,0.0,127.59,Apple Pay,SAVE10
ORD_000009,CUST_01218,2025-12-05 02:47:51,Web,Cancelled,350.0,0.0,350.0,Card,
ORD_000010,CUST_01404,2025-12-22 06:54:46,App,Delivered,1165.44,0.0,1165.44,Wallet,
ORD_000011,CUST_01427,2025-10-19 15:15:02,Call Center,In Transit,419.01,0.0,419.01,COD,SAVE10
ORD_000012,CUST_00664,2025-11-17 06:50:51,Web,Delivered,247.85,0.0,247.85,Card,
ORD_000013,CUST_01773,2025-10-11 08:17:13,Web,Delivered,900.45,50.1,850.35,Wallet,
ORD_000014,CUST_00600,2025-12-01 09:31:25,Web,Returned,318.52,0.0,318.52,Apple Pay,
ORD_000015,CUST_00011,2025-11-22 03:18:01,App,Delivered,148.4,42.79,105.61,Apple Pay,SAVE10
ORD_000016,CUST_00187,2025-12-10 09:55:53,App,Delivered,633.6,0.0,633.6,COD,SAVE10
ORD_000017,CUST_00726,2026-01-02 09:27:15,App,Delivered,191.9,57.14,134.76,Wallet,
ORD_000018,CUST_01039,2025-12-05 16:46:52,App,Delivered,483.34,0.0,483.34,Card,
ORD_000019,CUST_00778,2025-11-05 06:51:10,Web,Delivered,454.9,0.0,454.9,Card,SAVE10
ORD_000020,CUST_01321,2025-11-12 14:19:54,Web,Delivered,338.0,0.0,338.0,Card,
ORD_000021,CUST_00411,2025-10-26 07:25:41,Web,Delivered,80.59,0.0,80.59,COD,
ORD_000022,CUST_00956,2025-10-19 01:55:27,App,Delivered,601.49,0.0,601.49,Card,
ORD_000023,CUST_00585,2025-12-19 18:31:24,App,Delivered,128.39,0.0,128.39,COD,SAVE10
ORD_000024,CUST_01076,2025-11-18 07:24:56,App,Delivered,589.57,0.0,589.57,Card,
ORD_000025,CUST_01664,2025-12-19 01:16:30,App,Delivered,221.64,0.0,221.64,Wallet,
ORD_000026,CUST_01052,2025-12-03 23:12:13,App,Delivered,909.6,0.0,909.6,Wallet,
ORD_000027,CUST_00577,2025-12-01 23:51:46,Web,Cancelled,417.11,0.0,417.11,Wallet,
ORD_000028,CUST_01041,2025-10-17 00:21:50,App,Delivered,391.57,55.02,336.55,Wallet,
ORD_000029,CUST_01375,2025-12-03 06:01:44,Call Center,Cancelled,342.8,0.0,342.8,Wallet,
ORD_000030,CUST_01452,2025-11-24 20:30:27,App,Cancelled,309.41,53.06,256.35,Wallet,SAVE10
ORD_000031,CUST_01674,2025-11-07 17:28:20,Web,Delivered,646.5,0.0,646.5,Card,SAVE10
ORD_000032,CUST_01855,2025-11-10 04:13:26,App,Delivered,345.74,45.64,300.1,COD,
ORD_000033,CUST_01253,2026-01-03 13:53:57,App,Delivered,591.76,0.0,591.76,Card,
ORD_000034,CUST_01790,2025-12-30 23:18:49,Web,Delivered,422.38,0.0,422.38,Wallet,
ORD_000035,CUST_00989,2025-12-13 16:21:27,Web,Delivered,599.98,0.0,599.98,Card,
ORD_000036,CUST_01234,2025-12-25 02:19:03,App,Delivered,667.6,163.91,503.69,Apple Pay,
ORD_000037,CUST_01455,2025-12-08 22:21:06,App,Delivered,445.15,124.97,320.18,COD,
ORD_000038,CUST_01318,2025-11-15 16:18:54,App,Delivered,411.97,23.42,388.55,Card,
ORD_000039,CUST_00743,2025-10-21 00:22:07,Web,Returned,471.09,55.48,415.61,COD,
ORD_000040,CUST_01777,2025-12-06 02:29:49,Call Center,Delivered,463.54,53.7,409.84,Wallet,
ORD_000041,CUST_01606,2025-11-21 10:19:37,App,Cancelled,521.96,0.0,521.96,Card,SAVE10
ORD_000042,CUST_01128,2025-10-15 16:07:49,App,Delivered,171.59,18.11,153.48,COD,SAVE10
ORD_000043,CUST_00204,2025-10-13 18:19:34,Call Center,Delivered,379.15,0.0,379.15,Card,SAVE10
ORD_000044,CUST_01077,2025-12-15 12:21:28,App,Delivered,316.28,29.42,286.86,Wallet,
ORD_000045,CUST_00974,2025-10-19 15:00:09,Web,Returned,391.76,0.0,391.76,Card,
ORD_000046,CUST_00940,2025-10-16 00:38:17,App,Delivered,633.92,0.0,633.92,Card,
ORD_000047,CUST_01399,2025-10-25 13:27:25,Web,Delivered,883.45,0.0,883.45,COD,
ORD_000048,CUST_01866,2025-11-30 07:57:31,App,Cancelled,229.14,0.0,229.14,Card,
ORD_000049,CUST_01078,2025-10-09 14:28:14,App,Delivered,180.58,19.96,160.62,Apple Pay,SAVE10
ORD_000050,CUST_01300,2025-12-27 22:37:35,App,Delivered,369.23,0.0,369.23,COD,
ORD_000051,CUST_01359,2025-10-24 16:19:15,Web,Returned,389.57,99.84,289.73,Card,SAVE10
ORD_000052,CUST_01055,2025-11-01 15:15:48,Web,Cancelled,187.54,0.0,187.54,Wallet,
ORD_000053,CUST_01159,2025-12-17 19:52:39,Web,Delivered,445.19,42.79,402.4,Wallet,
ORD_000054,CUST_01082,2025-12-08 11:18:24,Web,Delivered,495.97,67.53,428.44,Apple Pay,
ORD_000055,CUST_00105,2025-12-03 06:36:11,App,Returned,234.31,0.0,234.31,Card,
ORD_000056,CUST_01290,2025-12-20 00:18:13,App,Returned,352.11,44.79,307.32,Card,SAVE10
ORD_000057,CUST_01546,2025-11-09 00:22:06,Web,Delivered,547.87,0.0,547.87,Apple Pay,
ORD_000058,CUST_01520,2025-12-07 16:37:55,App,In Transit,288.03,0.0,288.03,Card,
ORD_000059,CUST_00253,2025-12-06 02:14:12,App,Delivered,227.2,0.0,227.2,Wallet,
ORD_000060,CUST_00295,2025-11-20 17:09:30,App,Delivered,217.46,31.52,185.94,Card,SAVE10
ORD_000061,CUST_00668,2025-10-27 15:11:00,App,Delivered,367.41,0.0,367.41,COD,SAVE10
ORD_000062,CUST_01182,2025-12-31 02:23:45,App,Delivered,201.93,0.0,201.93,Apple Pay,
ORD_000063,CUST_00549,2025-11-27 14:05:11,Web,Delivered,645.57,0.0,645.57,COD,SAVE10
ORD_000064,CUST_00631,2025-12-28 20:55:10,Call Center,Delivered,525.18,0.0,525.18,COD,
ORD_000065,CUST_01091,2025-11-10 12:24:49,Web,Delivered,658.87,74.05,584.82,Card,
ORD_000066,CUST_01778,2025-11-04 03:49:39,Call Center,Delivered,836.14,0.0,836.14,Card,
ORD_000067,CUST_00299,2025-11-22 10:19:56,Call Center,Delivered,279.25,0.0,279.25,Card,
ORD_000068,CUST_01487,2025-11-30 17:48:52,App,Returned,368.19,0.0,368.19,Wallet,
ORD_000069,CUST_01749,2025-11-24 03:57:17,App,Cancelled,547.1,0.0,547.1,COD,
ORD_000070,CUST_01844,2025-12-25 16:21:20,Web,Delivered,519.02,58.2,460.82,Card,
ORD_000071,CUST_00101,2025-12-16 05:15:01,App,Cancelled,451.12,0.0,451.12,Card,
ORD_000072,CUST_01080,2025-12-26 21:10:41,App,Delivered,596.46,168.61,427.85,Wallet,
ORD_000073,CUST_00332,2025-12-07 18:32:13,App,Delivered,437.99,0.0,437.99,Card,
ORD_000074,CUST_00836,2025-10-19 12:42:44,App,Returned,755.86,0.0,755.86,Card,
ORD_000075,CUST_01775,2025-12-15 02:46:54,App,Delivered,417.49,37.49,380.0,COD,
ORD_000076,CUST_00393,2025-12-07 02:39:22,App,Delivered,537.72,54.22,483.5,Card,
ORD_000077,CUST_01767,2025-10-15 04:51:03,App,Delivered,247.47,49.77,197.7,Card,
